pair,direction,content_label,style_label,candidate_id,content_index,style_index
bird / monkey,bird -> monkey,1,7,content_5560_style_3467,5560,3467
bird / monkey,bird -> monkey,1,7,content_2116_style_4748,2116,4748
bird / monkey,bird -> monkey,1,7,content_3413_style_3404,3413,3404
bird / monkey,bird -> monkey,1,7,content_7955_style_1473,7955,1473
bird / monkey,bird -> monkey,1,7,content_6954_style_7270,6954,7270
bird / monkey,bird -> monkey,1,7,content_7202_style_4704,7202,4704
bird / monkey,bird -> monkey,1,7,content_7390_style_1473,7390,1473
bird / monkey,bird -> monkey,1,7,content_5092_style_5719,5092,5719
bird / monkey,monkey -> bird,7,1,content_1579_style_2116,1579,2116
bird / monkey,monkey -> bird,7,1,content_1711_style_1568,1711,1568
bird / monkey,monkey -> bird,7,1,content_1703_style_6349,1703,6349
bird / monkey,monkey -> bird,7,1,content_1440_style_5560,1440,5560
bird / monkey,monkey -> bird,7,1,content_269_style_825,269,825
bird / monkey,monkey -> bird,7,1,content_2501_style_7029,2501,7029
bird / monkey,monkey -> bird,7,1,content_6772_style_3413,6772,3413
bird / monkey,monkey -> bird,7,1,content_1703_style_5560,1703,5560
bird / monkey,monkey -> bird,7,1,content_3446_style_7033,3446,7033
bird / monkey,monkey -> bird,7,1,content_4661_style_5560,4661,5560
bird / monkey,monkey -> bird,7,1,content_1032_style_2116,1032,2116
bird / monkey,monkey -> bird,7,1,content_1711_style_3491,1711,3491
bird / monkey,monkey -> bird,7,1,content_1927_style_5220,1927,5220
bird / monkey,monkey -> bird,7,1,content_1956_style_3491,1956,3491
bird / monkey,monkey -> bird,7,1,content_5719_style_5488,5719,5488
bird / monkey,monkey -> bird,7,1,content_4403_style_261,4403,261
bird / monkey,monkey -> bird,7,1,content_3867_style_2095,3867,2095
bird / monkey,monkey -> bird,7,1,content_4704_style_5560,4704,5560
bird / monkey,monkey -> bird,7,1,content_4172_style_95,4172,95
bird / monkey,monkey -> bird,7,1,content_7270_style_5560,7270,5560
car / truck,car -> truck,2,9,content_4735_style_5301,4735,5301
car / truck,car -> truck,2,9,content_4735_style_7047,4735,7047
car / truck,car -> truck,2,9,content_2502_style_1411,2502,1411
car / truck,car -> truck,2,9,content_6244_style_2655,6244,2655
car / truck,car -> truck,2,9,content_3163_style_7544,3163,7544
car / truck,car -> truck,2,9,content_317_style_7047,317,7047
car / truck,car -> truck,2,9,content_483_style_3942,483,3942
car / truck,car -> truck,2,9,content_5333_style_7752,5333,7752
car / truck,car -> truck,2,9,content_5395_style_303,5395,303
car / truck,car -> truck,2,9,content_714_style_7047,714,7047
car / truck,car -> truck,2,9,content_1403_style_1654,1403,1654
car / truck,car -> truck,2,9,content_35_style_7752,35,7752
car / truck,car -> truck,2,9,content_483_style_7047,483,7047
car / truck,car -> truck,2,9,content_3024_style_2011,3024,2011
car / truck,car -> truck,2,9,content_4065_style_7752,4065,7752
car / truck,car -> truck,2,9,content_6503_style_419,6503,419
car / truck,car -> truck,2,9,content_5237_style_5284,5237,5284
car / truck,car -> truck,2,9,content_6028_style_5788,6028,5788
car / truck,car -> truck,2,9,content_6354_style_7380,6354,7380
car / truck,car -> truck,2,9,content_2082_style_2351,2082,2351
car / truck,truck -> car,9,2,content_805_style_317,805,317
car / truck,truck -> car,9,2,content_131_style_5756,131,5756
car / truck,truck -> car,9,2,content_5981_style_6264,5981,6264
car / truck,truck -> car,9,2,content_7752_style_981,7752,981
car / truck,truck -> car,9,2,content_5301_style_5318,5301,5318
car / truck,truck -> car,9,2,content_191_style_4065,191,4065
car / truck,truck -> car,9,2,content_1022_style_4913,1022,4913
car / truck,truck -> car,9,2,content_1468_style_981,1468,981
car / truck,truck -> car,9,2,content_7380_style_35,7380,35
car / truck,truck -> car,9,2,content_7995_style_7425,7995,7425
car / truck,truck -> car,9,2,content_191_style_4913,191,4913
car / truck,truck -> car,9,2,content_7047_style_5395,7047,5395
car / truck,truck -> car,9,2,content_1022_style_5237,1022,5237
car / truck,truck -> car,9,2,content_5452_style_1520,5452,1520
car / truck,truck -> car,9,2,content_191_style_6692,191,6692
car / truck,truck -> car,9,2,content_2414_style_4065,2414,4065
car / truck,truck -> car,9,2,content_5572_style_3755,5572,3755
car / truck,truck -> car,9,2,content_2114_style_5824,2114,5824
car / truck,truck -> car,9,2,content_276_style_5677,276,5677
car / truck,truck -> car,9,2,content_2414_style_3362,2414,3362
airplane / ship,airplane -> ship,0,8,content_1977_style_7446,1977,7446
airplane / ship,airplane -> ship,0,8,content_4617_style_4069,4617,4069
airplane / ship,airplane -> ship,0,8,content_3965_style_7446,3965,7446
airplane / ship,airplane -> ship,0,8,content_3_style_5525,3,5525
airplane / ship,airplane -> ship,0,8,content_42_style_7818,42,7818
airplane / ship,airplane -> ship,0,8,content_1648_style_7460,1648,7460
airplane / ship,airplane -> ship,0,8,content_6844_style_7460,6844,7460
airplane / ship,airplane -> ship,0,8,content_1553_style_4069,1553,4069
airplane / ship,airplane -> ship,0,8,content_6986_style_7810,6986,7810
airplane / ship,airplane -> ship,0,8,content_6609_style_4311,6609,4311
airplane / ship,airplane -> ship,0,8,content_4893_style_1833,4893,1833
airplane / ship,airplane -> ship,0,8,content_7009_style_667,7009,667
airplane / ship,airplane -> ship,0,8,content_4819_style_4676,4819,4676
airplane / ship,airplane -> ship,0,8,content_1596_style_2340,1596,2340
airplane / ship,airplane -> ship,0,8,content_4615_style_2191,4615,2191
airplane / ship,airplane -> ship,0,8,content_5918_style_7476,5918,7476
airplane / ship,airplane -> ship,0,8,content_7634_style_1247,7634,1247
airplane / ship,airplane -> ship,0,8,content_7634_style_3948,7634,3948
airplane / ship,airplane -> ship,0,8,content_3083_style_2745,3083,2745
airplane / ship,airplane -> ship,0,8,content_2750_style_2230,2750,2230
airplane / ship,ship -> airplane,8,0,content_962_style_1977,962,1977
airplane / ship,ship -> airplane,8,0,content_667_style_1977,667,1977
airplane / ship,ship -> airplane,8,0,content_6434_style_7262,6434,7262
airplane / ship,ship -> airplane,8,0,content_706_style_6986,706,6986
airplane / ship,ship -> airplane,8,0,content_2191_style_4539,2191,4539
airplane / ship,ship -> airplane,8,0,content_4990_style_4617,4990,4617
airplane / ship,ship -> airplane,8,0,content_4177_style_4399,4177,4399
airplane / ship,ship -> airplane,8,0,content_5694_style_3876,5694,3876
airplane / ship,ship -> airplane,8,0,content_6434_style_4819,6434,4819
airplane / ship,ship -> airplane,8,0,content_716_style_3,716,3
airplane / ship,ship -> airplane,8,0,content_4177_style_7320,4177,7320
airplane / ship,ship -> airplane,8,0,content_716_style_4893,716,4893
airplane / ship,ship -> airplane,8,0,content_6689_style_4893,6689,4893
airplane / ship,ship -> airplane,8,0,content_151_style_4617,151,4617
airplane / ship,ship -> airplane,8,0,content_2340_style_2888,2340,2888
airplane / ship,ship -> airplane,8,0,content_3948_style_4675,3948,4675
airplane / ship,ship -> airplane,8,0,content_2109_style_6609,2109,6609
airplane / ship,ship -> airplane,8,0,content_667_style_5912,667,5912
airplane / ship,ship -> airplane,8,0,content_4552_style_7262,4552,7262
airplane / ship,ship -> airplane,8,0,content_1954_style_7465,1954,7465
